10L,NHS Isle of Wight CCG,449693.6523,86318.15374,141057
08H,NHS Islington CCG,531124.6022,184969.2427,221850
11N,NHS Kernow CCG,198668.0949,59852.00343,553869
08J,NHS Kingston CCG,519292.7822,166827.8638,189116
01J,NHS Knowsley CCG,344675.6053,392353.8515,160583
08K,NHS Lambeth CCG,530844.7526,174353.0757,374603
01K,NHS Lancashire North CCG,353587.0865,459423.4018,160537
02V,NHS Leeds North CCG,434779.0021,441759.6679,197278
03G,NHS Leeds South and East CCG,436856.7239,430711.673,257209
03C,NHS Leeds West CCG,424283.5287,433732.8319,358511
04C,NHS Leicester City CCG,459083.5537,304820.9547,364349
08L,NHS Lewisham CCG,537682.0337,173982.1211,299671
03T,NHS Lincolnshire East CCG,530794.1555,372858.9164,241325
04D,NHS Lincolnshire West CCG,495919.4483,376696.1523,221106
99A,NHS Liverpool CCG,339154.0946,390075.3185,491798
06P,NHS Luton CCG,508436.9033,222904.6274,213872
04E,NHS Mansfield and Ashfield CCG,451974.8133,359820.6991,184145
09W,NHS Medway CCG,577663.4341,171555.2868,275851
08R,NHS Merton CCG,525478.3138,169424.2917,206483
06Q,NHS Mid Essex CCG,579987.8615,216978.5638,375149
04F,NHS Milton Keynes CCG,486829.4721,241263.1779,261366
04G,NHS Nene CCG,473414.4231,264143.1722,630847
04H,NHS Newark & Sherwood CCG,472339.889,359616.9564,128048
10M,NHS Newbury and District CCG,444711.0029,172669.9675,114136
00G,NHS Newcastle North and East CCG,422935.6871,569585.6902,149488
00H,NHS Newcastle West CCG,420409.1047,566159.3685,130363
08M,NHS Newham CCG,541355.6403,183016.689,357344
10N,NHS North & West Reading CCG,463778.9511,172202.8021,98941
04J,NHS North Derbyshire CCG,420898.0882,375318.09,288946
00J,NHS North Durham CCG,419804.0047,546093.4062,247437
06T,NHS North East Essex CCG,605517.9367,223617.646,320334
99M,NHS North East Hampshire and Farnham CCG,483369.9477,150935.1778,217282
03H,NHS North East Lincolnshire CCG,523439.2211,406685.0025,167695
99P,NHS North East West Devon CCG,271087.1304,101186.4467,890794
10J,NHS North Hampshire CCG,463616.5221,150556.747,212578
03J,NHS North Kirklees CCG,421756.3271,423080.0997,185367
03K,NHS North Lincolnshire CCG,493141.7382,411356.8224,169060
01M,NHS North Manchester CCG,386002.6031,400900.0408,187547
06V,NHS North Norfolk CCG,617407.5646,327065.4259,167620
11T,NHS North Somerset CCG,344857.7271,165942.8686,210408
05G,NHS North Staffordshire CCG,395371.3914,351147.778,196194
99C,NHS North Tyneside CCG,430835.2428,570544.7967,215012
09Y,NHS North West Surrey CCG,502607.7937,164258.6387,345608
00L,NHS Northumberland CCG,395695.0811,593753.6669,320578
06W,NHS Norwich CCG,621945.5583,310520.3376,206737
04K,NHS Nottingham City CCG,455423.432,340697.0953,345242
04L,NHS Nottingham North and East CCG,460479.014,347505.4185,144886
04M,NHS Nottingham West CCG,449645.1879,342359.3293,93521
00Y,NHS Oldham CCG,396713.996,406154.0465,235051
10Q,NHS Oxfordshire CCG,446610.7448,207966.7572,682376
10R,NHS Portsmouth CCG,465597.1439,102774.2209,214057
08N,NHS Redbridge CCG,543910.5869,189465.8719,287364
05J,NHS Redditch and Bromsgrove CCG,399867.7602,271990.2777,168932
08P,NHS Richmond CCG,517338.9735,172799.6442,196882
03L,NHS Rotherham CCG,447543.7129,390427.9019,250982
04N,NHS Rushcliffe CCG,464827.3439,334147.1537,119596
01G,NHS Salford CCG,375529.54,399282.0848,237950
05L,NHS Sandwell and West Birmingham CCG,401200.3771,290630.2331,527267
03M,NHS Scarborough and Ryedale CCG,489889.1547,478392.087,112226
03N,NHS Sheffield CCG,429974.0516,389834.169,570763
05N,NHS Shropshire CCG,350424.7152,304383.8341,292757
10T,NHS Slough CCG,498180.1558,179764.9424,143976
05P,NHS Solihull CCG,418655.2688,279477.3008,236045
11X,NHS Somerset CCG,334335.0982,133758.4891,536364
01R,NHS South Cheshire CCG,367085.8294,353664.4171,174605
99Q,NHS South Devon and Torbay CCG,280348.763,65418.07786,285276
05Q,NHS South East Staffs and Seisdon Peninsular CCG,402776.8233,301514.7306,208734
10V,NHS South Eastern Hampshire CCG,473660.1961,121589.2025,205404
12A,NHS South Gloucestershire CCG,368366.4689,182655.0329,257452
10A,NHS South Kent Coast CCG,616605.8151,137463.1464,196053
99D,NHS South Lincolnshire CCG,525207.7552,320478.3006,156656
01N,NHS South Manchester CCG,382808.5656,389177.2905,166928
06Y,NHS South Norfolk CCG,610828.416,298095.055,222121
10W,NHS South Reading CCG,470931.2332,172150.8661,128033
01T,NHS South Sefton CCG,335073.1526,400225.7131,155198
00M,NHS South Tees CCG,461101.4633,517589.8546,288755
